Reg. #/ File Sym,Physcial Form.,Product Name (PBN),Use,Use Site,"App.
Target","App.
Type","App.
Equipment","App.
Timing (Site Status)","App.
Timing (other)","A.I.
Max Single Rate
/ App. (lb a.i./A)","Max # Apps
/ C.C.","A. I.
Max Total Rate
/ C.C. (lb a.i./A","Max # Apps
/ Yr.","A. I.
Max Total Rate
/ Yr. (lb a.i./A)","MRI
(days)",PHI (days),Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-REUN,SL,SIVANTO 300 SL,Taro Leaves,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Taro Leaves,Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting hole drench or Post-transplant drench",Pre-emergencePost-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,Tobacco,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.092,4,0.365,4,0.365,7,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Tobacco- Planthouse,Planthouse/ Nursery (Inside),Foliar,Broadcast,,Post-emergence,When pests occur,"0.23 fl oz/ 10,000 plants (0.011 lb ai)",NS,"0.23 fl oz/ 10,000 plants (0.011 lb ai); 0.365 lb ai/A for total planthouse + foliar",1,0.365,NS,7,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior
to transplanting, in one of the following methods: uniform broadcast spray followed by overhead irrigation to wash product from foliage into potting media; Injection into overhead irrigation to saturate potting media in trays.",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",,,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting"
264-REUN,SL,SIVANTO 300 SL,Tobacco,Agricultural (Outdoor),Soil,Drench,Post-transplant drench following setting and covering,Post-emergence,When pests occur,0.274,1,0.365,1,0.365,NS,NS,Soil drench application to be made no more than 30 days after transplanting.,1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Soil drench application to be made no more than 30 days after transplanting.
264-REUN,SL,SIVANTO 300 SL,"Tree Nuts (CG 14-12, except almond)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,4,0.365,4,0.365,14,7,Minimum Application Volume: 25 Gallons/A - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Tree Nuts (CG 14-12, except almond)",Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; At-transplant drench followimg setting and covering; Post-transplant drench; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,
264-REUN,SL,SIVANTO 300 SL,"Tropical and Subtropical, Cactus, Inedible Peel (Subgroup 24D)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,21,Minimum application volume: 75 Gallons/Acre,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Do not apply by Aerial Application
264-REUN,SL,SIVANTO 300 SL,"Tropical and Subtropical, Medium to Large Fruit, Smooth, Inedible Peep (Subgrop 24B)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,2,0.365,2,0.365,7 days pomegranate; 14 day  other listed crops,0 day pomegranate; 1 day other listed crops,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Tropical and Subtropical, Palm Fruit, Edible Peel (Subgroup 23C)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,4,0.365,4,0.365,10,15,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Tuberous and Corm Vegetables (Subgroup 1C),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,4,0.365,4,0.365,7,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Tuberous and Corm Vegetables (Subgroup 1C),Agricultural (Outdoor),Soil,Chemigation/ Drench/ In-furrow/ Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplant or post-transplant drench; Injection or in-furrow spray for planting",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,NS,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplanting; Post-transplant drench following setting and covering",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",For injection: Place product 3-4 inches below seed line,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-1142,FS,BYI 02960 480 FS,Soybean,Agricultural (Outdoor),Seed Treatment,Seed Treatment,seed treatment,Pre-Emergent,Treatment of seed,0.02,1,0.365,1,0.365,NS,NS,,1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",N/A,N/A,Highly toxic to adult Megachile rotundata (alfalfa leafcutting bee) via direct contact exposure. Do not apply to foliage when managed alfalfa leaf cutting bees are foraging in the treatment area.,"Only for use in commercial seed treatment facilities. Not for use in hopper box, planter box, slurry box, or other on-farm seed treatment applications"
264-1142,FS,BYI 02960 480 FS,Canola,Agricultural (Outdoor),Seed Treatment,Seed Treatment,seed treatment,Pre-Emergent,Treatment of seed,0.025,1,0.274,1,0.274,NS,NS,,1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",N/A,N/A,Highly toxic to adult Megachile rotundata (alfalfa leafcutting bee) via direct contact exposure. Do not apply to foliage when managed alfalfa leaf cutting bees are foraging in the treatment area.,"Only for use in commercial seed treatment facilities. Not for use in hopper box, planter box, slurry box, or other on-farm seed treatment applications"
